intent,keyword_count,distinct_keyword_count,best_rank,p25_rank,median_rank,top100_count,top1000_count,average_rank,active_months,first_month,last_month,example_keywords
unknown,4888926,1765574,1,328851.0,659130.0,358.0,3746.0,666211.75,4,2025-09,2025-12,the summer i turned pretty | tinnitus relief for ringing ears | iphone 17 pro max case | ipad | tinnitus relief | toilet paper | paper towels | fallout | halloween candy | wicked
gift,77074,37550,2,319412.0,660485.0,15.0,83.0,676108.34,4,2025-09,2025-12,amazon gift card | gift card | gift for men | gift for women | white elephant gift | christmas gift for grandkids | amazon gift cards physical | roblox gift card | gift cards | gift for mom
christmas,101381,55639,2,355184.0,701225.0,16.0,78.0,704488.86,4,2025-09,2025-12,christmas decorations | christmas tree | christmas | christmas lights | christmas pajamas | outdoor christmas decorations | christmas movies free to me prime video | christmas tree skirt | christmas wrapping paper | christmas decor
decor,45857,17953,10,348732.0,670386.0,7.0,37.0,673013.82,4,2025-09,2025-12,halloween decorations outdoor | fall decor | halloween decor | thanksgiving decorations | halloween decorations | fall decorations for home | modern farmhouse decor deals | trunk or treat car decorations kit | halloween decor indoor | room decor
wedding,10485,4233,14,330369.0,647203.0,1.0,6.0,652109.28,4,2025-09,2025-12,wedding guest dress | wedding guest dresses for women | fall wedding guest dress | fall wedding guest dresses | mother of bride dresses | fall wedding guest dresses for women | best selling fall wedding guest dress | formal wedding guest dress | wedding dress | corpse bride costume
apparel,131176,49242,53,362574.0,688138.0,3.0,44.0,688560.48,4,2025-09,2025-12,winter clothing for women | women fall clothes | long sleeve shirt for women | womens fall clothes clearance sale | charlie kirk shirt | halloween shirt for women | witch hat | fashion clothing | fall clothes deals | chocolate brown fall clothes
matching,7011,3257,159,355160.0,686738.0,0.0,5.0,689258.77,4,2025-09,2025-12,couples halloween costumes 2025 | family christmas pajamas matching sets | matching christmas pajamas for family | couples costumes | aritzia matching sets | matching pajamas for couples | couples gift | couple costumes for adults | couples halloween costumes | matching sets women clothing
personalized,10395,4201,797,386225.0,707690.0,0.0,1.0,711304.62,4,2025-09,2025-12,custom blanket | custom shirt | dog tags personalized | custom flag | custom stickers | personalized christmas ornament | personalized blanket | christmas stockings personalized | customized blanket | custom blanket with picture
birthday,14902,4948,1217,369166.0,686010.0,0.0,0.0,683440.33,4,2025-09,2025-12,happy birthday banner | kpop demon hunters birthday decorations | birthday decorations | birthday cards | birthday candles | minecraft birthday decorations | hello kitty birthday decorations | happy birthday decorations | birthday card | bluey birthday decorations
appreciation,1513,634,1648,375241.0,712774.0,0.0,0.0,697308.74,4,2025-09,2025-12,thank you cards with envelopes | thank you cards | thank you stickers | pastor appreciation gift | thank you bags | teacher appreciation gift | pastor appreciation cards | employee appreciation gift | christmas thank you cards | employee appreciation gift bulk
anniversary,800,324,6639,375784.25,693733.5,0.0,0.0,692599.83,4,2025-09,2025-12,anniversary card | anniversary | anniversary card to husband | 250 anniversary usa hat | anniversary cards for wife | happy anniversary cards | anniversary card for husband | back to the future 40th anniversary | 250th anniversary usa hat | happy anniversary decorations
memorial,725,276,13416,391089.0,764639.0,0.0,0.0,734513.56,4,2025-09,2025-12,memorial gift | dog memorial gift for loss of dog | pet memorial gift for dogs | memorial wind chimes | dog memorial gift | memorial gift for loss of mom | dog memorial | cat memorial gift for loss of cat | in memory of loved one gift | memorial ornament
retirement,309,100,15264,423283.0,655099.0,0.0,0.0,695136.35,4,2025-09,2025-12,retirement party decorations | retirement card | retirement decorations | happy retirement decorations | tax planning to and through early retirement | retirement | retirement banner | retirement card for woman | happy retirement banner | retirement card for man
sympathy,153,49,16550,415061.0,710913.0,0.0,0.0,686727.36,4,2025-09,2025-12,sympathy cards | sympathy cards with envelopes | sympathy card | condolences card | sympathy cards for loss of loved one | sympathy wind chimes | sympathy basket | sympathy flowers for delivery prime | sympathy flowers | pet sympathy cards
graduation,586,232,16797,446562.5,774865.0,0.0,0.0,754341.89,4,2025-09,2025-12,graduation decorations | graduation dress | graduation card | white graduation dress | graduation stole | graduation cap headband | graduation cap | graduation | graduation cap decorations | graduation ornament 2025
housewarming,27,10,135231,325607.0,685063.0,0.0,0.0,705120.22,4,2025-09,2025-12,housewarming party decorations | housewarming card | housewarming | housewarming decorations | housewarming party decor | housewarming party favors | housewarming candle | housewarming registry | housewarming party | housewarming must haves
