market_node_id,month,best_rank,p25_rank,top100,top1000,keyword_count
MN000001,2025-09,129736,133248.0,0.0,0.0,5
MN000001,2025-10,73658,157205.75,0.0,0.0,8
MN000001,2025-11,35580,258220.0,0.0,0.0,17
MN000001,2025-12,19843,292818.25,0.0,0.0,28
MN000002,2025-09,26270,244159.0,0.0,0.0,35
MN000002,2025-10,20522,335489.5,0.0,0.0,39
MN000002,2025-11,19111,374824.75,0.0,0.0,52
MN000002,2025-12,23515,507322.5,0.0,0.0,59
MN000003,2025-09,30810,332158.5,0.0,0.0,16
MN000003,2025-10,83319,334618.0,0.0,0.0,9
MN000003,2025-11,203777,603310.25,0.0,0.0,4
MN000003,2025-12,318055,700186.5,0.0,0.0,3
MN000004,2025-09,438937,519350.25,0.0,0.0,2
MN000004,2025-10,372055,494903.5,0.0,0.0,3
MN000004,2025-11,111562,566245.0,0.0,0.0,12
MN000004,2025-12,34369,340740.75,0.0,0.0,26
MN000005,2025-09,531678,531678.0,0.0,0.0,1
MN000005,2025-10,429057,429057.0,0.0,0.0,1
MN000005,2025-11,137556,553784.25,0.0,0.0,10
MN000005,2025-12,69216,287345.0,0.0,0.0,14
MN000006,2025-09,547740,547740.0,0.0,0.0,1
MN000006,2025-10,497387,497387.0,0.0,0.0,1
MN000006,2025-11,208090,608302.0,0.0,0.0,5
MN000006,2025-12,83087,328082.5,0.0,0.0,15
MN000007,2025-09,880974,901411.25,0.0,0.0,2
MN000007,2025-10,771840,807090.25,0.0,0.0,2
MN000007,2025-11,233300,265315.0,0.0,0.0,3
MN000007,2025-12,78682,504213.0,0.0,0.0,15
MN000008,2025-09,472106,472106.0,0.0,0.0,1
MN000008,2025-10,427337,600331.0,0.0,0.0,2
MN000008,2025-11,225738,708725.0,0.0,0.0,5
MN000008,2025-12,88213,423962.5,0.0,0.0,12
MN000009,2025-09,722134,722134.0,0.0,0.0,1
MN000009,2025-10,659130,810396.0,0.0,0.0,2
MN000009,2025-11,296792,455430.5,0.0,0.0,4
MN000009,2025-12,91862,632281.0,0.0,0.0,21
MN000010,2025-09,184335,199240.0,0.0,0.0,9
MN000010,2025-10,539512,548975.25,0.0,0.0,6
MN000010,2025-12,878891,1011938.75,0.0,0.0,2
